Name,Skill Area,Drill Type,Scoring Mode,Input Mode,Metric Schema,Grid Type,Subskill Mapping,Club Selection Mode,Target Distance Mode,Target Distance Value,Target Size Mode,Target Size Width,Target Size Depth,Required Set Count,Required Attempts Per Set,Anchors (JSON)
String Line Drill,Putting,Transition,Shared,GridCell,grid_1x3_direction,OneByThree,"[""putting_direction_control""]",,,,,,,1,10,"{""putting_direction_control"": {""Min"": 40, ""Scratch"": 70, ""Pro"": 90}}"
Box Drill (Putting),Putting,Transition,Shared,GridCell,grid_1x3_direction,OneByThree,"[""putting_direction_control""]",,,,,,,1,10,"{""putting_direction_control"": {""Min"": 40, ""Scratch"": 70, ""Pro"": 90}}"
Clock Face Pitch Drill,Pitching,Transition,Shared,BinaryHitMiss,binary_hit_miss,,"[""pitching_distance_control""]",UserLed,ClubCarry,,PercentageOfTargetDistance,10,,1,10,"{""pitching_distance_control"": {""Min"": 30, ""Scratch"": 60, ""Pro"": 80}}"
Landing Zone Pitch Drill,Pitching,Transition,Shared,BinaryHitMiss,binary_hit_miss,,"[""pitching_distance_control""]",UserLed,ClubCarry,,PercentageOfTargetDistance,10,,1,10,"{""pitching_distance_control"": {""Min"": 30, ""Scratch"": 60, ""Pro"": 80}}"
Gate Pitch Drill,Pitching,Transition,Shared,GridCell,grid_1x3_direction,OneByThree,"[""pitching_direction_control""]",UserLed,ClubCarry,,PercentageOfTargetDistance,5,,1,10,"{""pitching_direction_control"": {""Min"": 30, ""Scratch"": 60, ""Pro"": 80}}"
Corridor Pitch Drill,Pitching,Transition,Shared,GridCell,grid_1x3_direction,OneByThree,"[""pitching_direction_control""]",UserLed,ClubCarry,,PercentageOfTargetDistance,5,,1,10,"{""pitching_direction_control"": {""Min"": 30, ""Scratch"": 60, ""Pro"": 80}}"
High-Low Pitch Drill,Pitching,Transition,Shared,BinaryHitMiss,binary_hit_miss,,"[""pitching_flight_control""]",UserLed,,,,,,1,10,"{""pitching_flight_control"": {""Min"": 30, ""Scratch"": 60, ""Pro"": 80}}"
Hula Hoop Drill,Chipping,Transition,Shared,BinaryHitMiss,binary_hit_miss,,"[""chipping_distance_control""]",UserLed,,,,,,1,10,"{""chipping_distance_control"": {""Min"": 30, ""Scratch"": 60, ""Pro"": 80}}"
Landing Circle Drill,Chipping,Transition,Shared,BinaryHitMiss,binary_hit_miss,,"[""chipping_distance_control""]",UserLed,,,,,,1,10,"{""chipping_distance_control"": {""Min"": 30, ""Scratch"": 60, ""Pro"": 80}}"
Gate Chip Drill,Chipping,Transition,Shared,GridCell,grid_1x3_direction,OneByThree,"[""chipping_direction_control""]",UserLed,,,PercentageOfTargetDistance,5,,1,10,"{""chipping_direction_control"": {""Min"": 30, ""Scratch"": 60, ""Pro"": 80}}"
Coin Chip Drill,Chipping,Transition,Shared,GridCell,grid_1x3_direction,OneByThree,"[""chipping_direction_control""]",UserLed,,,PercentageOfTargetDistance,5,,1,10,"{""chipping_direction_control"": {""Min"": 30, ""Scratch"": 60, ""Pro"": 80}}"
Bump and Run Drill,Chipping,Transition,Shared,BinaryHitMiss,binary_hit_miss,,"[""chipping_flight_control""]",UserLed,,,,,,1,10,"{""chipping_flight_control"": {""Min"": 30, ""Scratch"": 60, ""Pro"": 80}}"
Fairway Wood Carry Test,Woods,Transition,Shared,RawDataEntry,raw_carry_distance,,"[""woods_distance_control""]",UserLed,,,,,,1,10,"{""woods_distance_control"": {""Min"": 160, ""Scratch"": 200, ""Pro"": 230}}"
Fairway Wood Gate Drill,Woods,Transition,Shared,GridCell,grid_1x3_direction,OneByThree,"[""woods_direction_control""]",UserLed,,,PercentageOfTargetDistance,10,,1,10,"{""woods_direction_control"": {""Min"": 30, ""Scratch"": 60, ""Pro"": 80}}"
Fairway Wood Shape Drill,Woods,Transition,Shared,BinaryHitMiss,binary_hit_miss,,"[""woods_shape_control""]",UserLed,,,,,,1,10,"{""woods_shape_control"": {""Min"": 20, ""Scratch"": 50, ""Pro"": 70}}"
Bunker Zone Drill,Bunkers,Transition,Shared,BinaryHitMiss,binary_hit_miss,,"[""bunkers_distance_control""]",UserLed,,,,,,1,10,"{""bunkers_distance_control"": {""Min"": 20, ""Scratch"": 50, ""Pro"": 70}}"
Bunker Gate Drill,Bunkers,Transition,Shared,GridCell,grid_1x3_direction,OneByThree,"[""bunkers_direction_control""]",UserLed,,,PercentageOfTargetDistance,15,,1,10,"{""bunkers_direction_control"": {""Min"": 20, ""Scratch"": 50, ""Pro"": 70}}"
